CSE24001, Priya Verma, CSE, 1, A
CSE24002, Waseem Gupta, CSE, 1, A
CSE24003, Esha Reddy, CSE, 1, A
CSE24004, Hari Joshi, CSE, 1, A
CSE24005, Waseem Shah, CSE, 1, A
CSE24006, Gita Bose, CSE, 1, A
CSE24007, Tara Nair, CSE, 1, A
CSE24008, Farhan Reddy, CSE, 1, A
CSE24009, Riya Joshi, CSE, 1, A
CSE24010, Asha Shah, CSE, 1, A
CSE24011, Vidya Khan, CSE, 1, A
CSE24012, Priya Rao, CSE, 1, A
CSE24013, Gita Khan, CSE, 1, A
CSE24014, Esha Patel, CSE, 1, A
CSE24015, Nikhil Rao, CSE, 1, A
CSE24016, Esha Das, CSE, 1, A
CSE24017, Meera Das, CSE, 1, A
CSE24018, Isha Verma, CSE, 1, A
CSE24019, Asha Khan, CSE, 1, A
CSE24020, Om Kumar, CSE, 1, A
CSE24021, Gita Joshi, CSE, 1, A
CSE24022, Farhan Nair, CSE, 1, A
CSE24023, Tara Bose, CSE, 1, A
CSE24024, Nikhil Kapoor, CSE, 1, A
CSE24025, Hari Ali, CSE, 1, A
CSE24026, Bilal Gupta, CSE, 1, A
CSE24027, Riya Gupta, CSE, 1, A
CSE24028, Yash Khan, CSE, 1, A
CSE24029, Yash Verma, CSE, 1, A
CSE24030, Yash Iyer, CSE, 1, A
CSE24031, Chetan Rao, CSE, 1, A
CSE24032, Jatin Shah, CSE, 1, A
CSE24033, Priya Bose, CSE, 1, A
CSE24034, Chetan Singh, CSE, 1, A
CSE24035, Yash Ali, CSE, 1, A
CSE24036, Sahil Menon, CSE, 1, A
CSE24037, Nikhil Das, CSE, 1, A
CSE24038, Divya Sharma, CSE, 1, A
CSE24039, Om Pillai, CSE, 1, A
CSE24040, Lalit Kumar, CSE, 1, A
CSE24041, Isha Kumar, CSE, 1, A
CSE24042, Isha Singh, CSE, 1, A
CSE24043, Hari Verma, CSE, 1, A
CSE24044, Vidya Gupta, CSE, 1, A
CSE24045, Zara Bose, CSE, 1, A
CSE24046, Lalit Reddy, CSE, 1, A
CSE24047, Hari Iyer, CSE, 1, A
CSE24048, Sahil Nair, CSE, 1, A
CSE24049, Uday Pillai, CSE, 1, A
CSE24050, Chetan Shah, CSE, 1, A
ECE-24-001, Vidya Iyer, ECE, 1, A
ECE-24-002, Zara Menon, ECE, 1, A
ECE-24-003, Sahil Gupta, ECE, 1, A
ECE-24-004, Farhan Verma, ECE, 1, A
ECE-24-005, Esha Gupta, ECE, 1, A
ECE-24-006, Isha Kapoor, ECE, 1, A
ECE-24-007, Qasim Bose, ECE, 1, A
ECE-24-008, Isha Patel, ECE, 1, A
ECE-24-009, Kavya Iyer, ECE, 1, A
ECE-24-010, Waseem Prasad, ECE, 1, A
ECE-24-011, Asha Singh, ECE, 1, A
ECE-24-012, Qasim Bose, ECE, 1, A
ECE-24-013, Xena Kapoor, ECE, 1, A
ECE-24-014, Priya Shah, ECE, 1, A
ECE-24-015, Esha Rao, ECE, 1, A
ECE-24-016, Sahil Singh, ECE, 1, A
ECE-24-017, Hari Ali, ECE, 1, A
ECE-24-018, Isha Rao, ECE, 1, A
ECE-24-019, Farhan Sharma, ECE, 1, A
ECE-24-020, Om Sharma, ECE, 1, A
ECE-24-021, Esha Menon, ECE, 1, A
ECE-24-022, Om Ali, ECE, 1, A
ECE-24-023, Kavya Verma, ECE, 1, A
ECE-24-024, Kavya Gupta, ECE, 1, A
ECE-24-025, Kavya Nair, ECE, 1, A
ECE-24-026, Xena Nair, ECE, 1, A
ECE-24-027, Meera Joshi, ECE, 1, A
ECE-24-028, Om Kumar, ECE, 1, A
ECE-24-029, Gita Nair, ECE, 1, A
ECE-24-030, Hari Nair, ECE, 1, A
ECE-24-031, Riya Kapoor, ECE, 1, A
ECE-24-032, Esha Gupta, ECE, 1, A
ECE-24-033, Isha Iyer, ECE, 1, A
ECE-24-034, Isha Rao, ECE, 1, A
ECE-24-035, Priya Kapoor, ECE, 1, A
ECE-24-036, Meera Prasad, ECE, 1, A
ECE-24-037, Sahil Pillai, ECE, 1, A
ECE-24-038, Vidya Verma, ECE, 1, A
ECE-24-039, Esha Bose, ECE, 1, A
ECE-24-040, Nikhil Das, ECE, 1, A
ECE-24-041, Xena Shah, ECE, 1, A
ECE-24-042, Divya Joshi, ECE, 1, A
ECE-24-043, Uday Kapoor, ECE, 1, A
ECE-24-044, Kavya Reddy, ECE, 1, A
ECE-24-045, Zara Shah, ECE, 1, A
ECE-24-046, Waseem Das, ECE, 1, A
ECE-24-047, Tara Khan, ECE, 1, A
ECE-24-048, Bilal Menon, ECE, 1, A
ECE-24-049, Nikhil Gupta, ECE, 1, A
ECE-24-050, Tara Sharma, ECE, 1, A
