CSE24001, Priya Verma, CSE, 1, A
CSE24002, Waseem Gupta, CSE, 2, B
CSE24003, Esha Reddy, CSE, 3, A
CSE24004, Hari Joshi, CSE, 4, B
CSE24005, Waseem Shah, CSE, 1, A
CSE24006, Gita Bose, CSE, 2, B
CSE24007, Tara Nair, CSE, 3, A
CSE24008, Farhan Reddy, CSE, 4, B
CSE24009, Riya Joshi, CSE, 1, A
CSE24010, Asha Shah, CSE, 2, B
CSE24011, Vidya Khan, CSE, 3, A
CSE24012, Priya Rao, CSE, 4, B
CSE24013, Gita Khan, CSE, 1, A
CSE24014, Esha Patel, CSE, 2, B
CSE24015, Nikhil Rao, CSE, 3, A
CSE24016, Esha Das, CSE, 4, B
CSE24017, Meera Das, CSE, 1, A
CSE24018, Isha Verma, CSE, 2, B
CSE24019, Asha Khan, CSE, 3, A
CSE24020, Om Kumar, CSE, 4, B
CSE24021, Gita Joshi, CSE, 1, A
CSE24022, Farhan Nair, CSE, 2, B
CSE24023, Tara Bose, CSE, 3, A
CSE24024, Nikhil Kapoor, CSE, 4, B
CSE24025, Hari Ali, CSE, 1, A
CSE24026, Bilal Gupta, CSE, 2, B
CSE24027, Riya Gupta, CSE, 3, A
CSE24028, Yash Khan, CSE, 4, B
CSE24029, Yash Verma, CSE, 1, A
CSE24030, Yash Iyer, CSE, 2, B
CSE24031, Chetan Rao, CSE, 3, A
CSE24032, Jatin Shah, CSE, 4, B
CSE24033, Priya Bose, CSE, 1, A
CSE24034, Chetan Singh, CSE, 2, B
CSE24035, Yash Ali, CSE, 3, A
CSE24036, Sahil Menon, CSE, 4, B
CSE24037, Nikhil Das, CSE, 1, A
CSE24038, Divya Sharma, CSE, 2, B
CSE24039, Om Pillai, CSE, 3, A
CSE24040, Lalit Kumar, CSE, 4, B
CSE24041, Isha Kumar, CSE, 1, A
CSE24042, Isha Singh, CSE, 2, B
CSE24043, Hari Verma, CSE, 3, A
CSE24044, Vidya Gupta, CSE, 4, B
CSE24045, Zara Bose, CSE, 1, A
CSE24046, Lalit Reddy, CSE, 2, B
CSE24047, Hari Iyer, CSE, 3, A
CSE24048, Sahil Nair, CSE, 4, B
CSE24049, Uday Pillai, CSE, 1, A
CSE24050, Chetan Shah, CSE, 2, B
CSE24051, Vidya Iyer, CSE, 3, A
CSE24052, Zara Menon, CSE, 4, B
CSE24053, Sahil Gupta, CSE, 1, A
CSE24054, Farhan Verma, CSE, 2, B
