24CSE001, Asha Rao, CSE, 3, A
24CSE002, Bilal Khan, CSE, 3, A
24CSE003, Chetan Iyer, CSE, 3, A
24CSE004, Divya Menon, CSE, 3, A
24CSE005, Esha Kapoor, CSE, 3, A
24CSE006, Farhan Ali, CSE, 3, A
24CSE007, Gita Nair, CSE, 3, A
24CSE008, Hari Prasad, CSE, 3, A
24CSE009, Isha Verma, CSE, 3, A
24CSE010, Jatin Shah, CSE, 3, A
24CSE011, Asha Rao, CSE, 3, A
24CSE012, Bilal Khan, CSE, 3, A
24CSE013, Chetan Iyer, CSE, 3, A
24CSE014, Divya Menon, CSE, 3, A
24CSE015, Esha Kapoor, CSE, 3, A
24CSE016, Farhan Ali, CSE, 3, A
24CSE017, Gita Nair, CSE, 3, A
24CSE018, Hari Prasad, CSE, 3, A
24CSE019, Isha Verma, CSE, 3, A
24CSE020, Jatin Shah, CSE, 3, A
24CSE021, Asha Rao, CSE, 3, A
24CSE022, Bilal Khan, CSE, 3, A
24CSE023, Chetan Iyer, CSE, 3, A
24CSE024, Divya Menon, CSE, 3, A
24CSE025, Esha Kapoor, CSE, 3, A
24CSE026, Farhan Ali, CSE, 3, A
24CSE027, Gita Nair, CSE, 3, A
24CSE028, Hari Prasad, CSE, 3, A
24CSE029, Isha Verma, CSE, 3, A
24CSE030, Jatin Shah, CSE, 3, A
24CSE031, Asha Rao, CSE, 3, A
24CSE032, Bilal Khan, CSE, 3, A
24CSE033, Chetan Iyer, CSE, 3, A
24CSE034, Divya Menon, CSE, 3, A
24CSE035, Esha Kapoor, CSE, 3, A
24CSE036, Farhan Ali, CSE, 3, A
24CSE037, Gita Nair, CSE, 3, A
24CSE038, Hari Prasad, CSE, 3, A
24CSE039, Isha Verma, CSE, 3, A
24CSE040, Jatin Shah, CSE, 3, A
24CSE041, Asha Rao, CSE, 3, A
24CSE042, Bilal Khan, CSE, 3, A
24CSE043, Chetan Iyer, CSE, 3, A
24CSE044, Divya Menon, CSE, 3, A
24CSE045, Esha Kapoor, CSE, 3, A
24CSE046, Farhan Ali, CSE, 3, A
24CSE047, Gita Nair, CSE, 3, A
24CSE048, Hari Prasad, CSE, 3, A
24CSE049, Isha Verma, CSE, 3, A
24CSE050, Jatin Shah, CSE, 3, A
24CSE051, Asha Rao, CSE, 3, A
24CSE052, Bilal Khan, CSE, 3, A
24CSE053, Chetan Iyer, CSE, 3, A
24CSE054, Divya Menon, CSE, 3, A
24CSE055, Esha Kapoor, CSE, 3, A
24CSE056, Farhan Ali, CSE, 3, A
24CSE057, Gita Nair, CSE, 3, A
24CSE058, Hari Prasad, CSE, 3, A
24CSE059, Isha Verma, CSE, 3, A
24CSE060, Jatin Shah, CSE, 3, A
23CSE001, Asha Rao, CSE, 4, A
23CSE002, Bilal Khan, CSE, 4, A
23CSE003, Chetan Iyer, CSE, 4, A
23CSE004, Divya Menon, CSE, 4, A
23CSE005, Esha Kapoor, CSE, 4, A
23CSE006, Farhan Ali, CSE, 4, A
23CSE007, Gita Nair, CSE, 4, A
23CSE008, Hari Prasad, CSE, 4, A
23CSE009, Isha Verma, CSE, 4, A
23CSE010, Jatin Shah, CSE, 4, A
23CSE011, Asha Rao, CSE, 4, A
23CSE012, Bilal Khan, CSE, 4, A
23CSE013, Chetan Iyer, CSE, 4, A
23CSE014, Divya Menon, CSE, 4, A
23CSE015, Esha Kapoor, CSE, 4, A
23CSE016, Farhan Ali, CSE, 4, A
23CSE017, Gita Nair, CSE, 4, A
23CSE018, Hari Prasad, CSE, 4, A
23CSE019, Isha Verma, CSE, 4, A
23CSE020, Jatin Shah, CSE, 4, A
23CSE021, Asha Rao, CSE, 4, A
23CSE022, Bilal Khan, CSE, 4, A
23CSE023, Chetan Iyer, CSE, 4, A
23CSE024, Divya Menon, CSE, 4, A
23CSE025, Esha Kapoor, CSE, 4, A
23CSE026, Farhan Ali, CSE, 4, A
23CSE027, Gita Nair, CSE, 4, A
23CSE028, Hari Prasad, CSE, 4, A
23CSE029, Isha Verma, CSE, 4, A
23CSE030, Jatin Shah, CSE, 4, A
23CSE031, Asha Rao, CSE, 4, A
23CSE032, Bilal Khan, CSE, 4, A
23CSE033, Chetan Iyer, CSE, 4, A
23CSE034, Divya Menon, CSE, 4, A
23CSE035, Esha Kapoor, CSE, 4, A
23CSE036, Farhan Ali, CSE, 4, A
23CSE037, Gita Nair, CSE, 4, A
23CSE038, Hari Prasad, CSE, 4, A
23CSE039, Isha Verma, CSE, 4, A
23CSE040, Jatin Shah, CSE, 4, A
23CSE041, Asha Rao, CSE, 4, A
23CSE042, Bilal Khan, CSE, 4, A
23CSE043, Chetan Iyer, CSE, 4, A
23CSE044, Divya Menon, CSE, 4, A
23CSE045, Esha Kapoor, CSE, 4, A
23CSE046, Farhan Ali, CSE, 4, A
23CSE047, Gita Nair, CSE, 4, A
23CSE048, Hari Prasad, CSE, 4, A
23CSE049, Isha Verma, CSE, 4, A
23CSE050, Jatin Shah, CSE, 4, A
23CSE051, Asha Rao, CSE, 4, A
23CSE052, Bilal Khan, CSE, 4, A
23CSE053, Chetan Iyer, CSE, 4, A
23CSE054, Divya Menon, CSE, 4, A
23CSE055, Esha Kapoor, CSE, 4, A
23CSE056, Farhan Ali, CSE, 4, A
23CSE057, Gita Nair, CSE, 4, A
23CSE058, Hari Prasad, CSE, 4, A
23CSE059, Isha Verma, CSE, 4, A
23CSE060, Jatin Shah, CSE, 4, A
