26CSE001, Asha Rao, CSE, 1, A
26CSE002, Bilal Khan, CSE, 1, A
26CSE003, Chetan Iyer, CSE, 1, A
26CSE004, Divya Menon, CSE, 1, A
26CSE005, Esha Kapoor, CSE, 1, A
26CSE006, Farhan Ali, CSE, 1, A
26CSE007, Gita Nair, CSE, 1, A
26CSE008, Hari Prasad, CSE, 1, A
26CSE009, Isha Verma, CSE, 1, A
26CSE010, Jatin Shah, CSE, 1, A
26CSE011, Asha Rao, CSE, 1, A
26CSE012, Bilal Khan, CSE, 1, A
26CSE013, Chetan Iyer, CSE, 1, A
25CSE001, Divya Menon, CSE, 2, A
25CSE002, Esha Kapoor, CSE, 2, A
25CSE003, Farhan Ali, CSE, 2, A
25CSE004, Gita Nair, CSE, 2, A
25CSE005, Hari Prasad, CSE, 2, A
25CSE006, Isha Verma, CSE, 2, A
25CSE007, Jatin Shah, CSE, 2, A
25CSE008, Asha Rao, CSE, 2, A
25CSE009, Bilal Khan, CSE, 2, A
25CSE010, Chetan Iyer, CSE, 2, A
25CSE011, Divya Menon, CSE, 2, A
25CSE012, Esha Kapoor, CSE, 2, A
25CSE013, Farhan Ali, CSE, 2, A
24CSE001, Gita Nair, CSE, 3, A
24CSE002, Hari Prasad, CSE, 3, A
24CSE003, Isha Verma, CSE, 3, A
24CSE004, Jatin Shah, CSE, 3, A
24CSE005, Asha Rao, CSE, 3, A
24CSE006, Bilal Khan, CSE, 3, A
24CSE007, Chetan Iyer, CSE, 3, A
24CSE008, Divya Menon, CSE, 3, A
24CSE009, Esha Kapoor, CSE, 3, A
24CSE010, Farhan Ali, CSE, 3, A
24CSE011, Gita Nair, CSE, 3, A
24CSE012, Hari Prasad, CSE, 3, A
23CSE001, Isha Verma, CSE, 4, A
23CSE002, Jatin Shah, CSE, 4, A
23CSE003, Asha Rao, CSE, 4, A
23CSE004, Bilal Khan, CSE, 4, A
23CSE005, Chetan Iyer, CSE, 4, A
23CSE006, Divya Menon, CSE, 4, A
23CSE007, Esha Kapoor, CSE, 4, A
23CSE008, Farhan Ali, CSE, 4, A
23CSE009, Gita Nair, CSE, 4, A
23CSE010, Hari Prasad, CSE, 4, A
23CSE011, Isha Verma, CSE, 4, A
23CSE012, Jatin Shah, CSE, 4, A
26ECE001, Asha Rao, ECE, 1, A
26ECE002, Bilal Khan, ECE, 1, A
26ECE003, Chetan Iyer, ECE, 1, A
26ECE004, Divya Menon, ECE, 1, A
26ECE005, Esha Kapoor, ECE, 1, A
26ECE006, Farhan Ali, ECE, 1, A
26ECE007, Gita Nair, ECE, 1, A
26ECE008, Hari Prasad, ECE, 1, A
26ECE009, Isha Verma, ECE, 1, A
26ECE010, Jatin Shah, ECE, 1, A
26ECE011, Asha Rao, ECE, 1, A
26ECE012, Bilal Khan, ECE, 1, A
26ECE013, Chetan Iyer, ECE, 1, A
25ECE001, Divya Menon, ECE, 2, A
25ECE002, Esha Kapoor, ECE, 2, A
25ECE003, Farhan Ali, ECE, 2, A
25ECE004, Gita Nair, ECE, 2, A
25ECE005, Hari Prasad, ECE, 2, A
25ECE006, Isha Verma, ECE, 2, A
25ECE007, Jatin Shah, ECE, 2, A
25ECE008, Asha Rao, ECE, 2, A
25ECE009, Bilal Khan, ECE, 2, A
25ECE010, Chetan Iyer, ECE, 2, A
25ECE011, Divya Menon, ECE, 2, A
25ECE012, Esha Kapoor, ECE, 2, A
25ECE013, Farhan Ali, ECE, 2, A
24ECE001, Gita Nair, ECE, 3, A
24ECE002, Hari Prasad, ECE, 3, A
24ECE003, Isha Verma, ECE, 3, A
24ECE004, Jatin Shah, ECE, 3, A
24ECE005, Asha Rao, ECE, 3, A
24ECE006, Bilal Khan, ECE, 3, A
24ECE007, Chetan Iyer, ECE, 3, A
24ECE008, Divya Menon, ECE, 3, A
24ECE009, Esha Kapoor, ECE, 3, A
24ECE010, Farhan Ali, ECE, 3, A
24ECE011, Gita Nair, ECE, 3, A
24ECE012, Hari Prasad, ECE, 3, A
23ECE001, Isha Verma, ECE, 4, A
23ECE002, Jatin Shah, ECE, 4, A
23ECE003, Asha Rao, ECE, 4, A
23ECE004, Bilal Khan, ECE, 4, A
23ECE005, Chetan Iyer, ECE, 4, A
23ECE006, Divya Menon, ECE, 4, A
23ECE007, Esha Kapoor, ECE, 4, A
23ECE008, Farhan Ali, ECE, 4, A
23ECE009, Gita Nair, ECE, 4, A
23ECE010, Hari Prasad, ECE, 4, A
23ECE011, Isha Verma, ECE, 4, A
23ECE012, Jatin Shah, ECE, 4, A
26MECH001, Asha Rao, MECH, 1, A
26MECH002, Bilal Khan, MECH, 1, A
26MECH003, Chetan Iyer, MECH, 1, A
26MECH004, Divya Menon, MECH, 1, A
26MECH005, Esha Kapoor, MECH, 1, A
26MECH006, Farhan Ali, MECH, 1, A
26MECH007, Gita Nair, MECH, 1, A
26MECH008, Hari Prasad, MECH, 1, A
26MECH009, Isha Verma, MECH, 1, A
26MECH010, Jatin Shah, MECH, 1, A
26MECH011, Asha Rao, MECH, 1, A
26MECH012, Bilal Khan, MECH, 1, A
26MECH013, Chetan Iyer, MECH, 1, A
25MECH001, Divya Menon, MECH, 2, A
25MECH002, Esha Kapoor, MECH, 2, A
25MECH003, Farhan Ali, MECH, 2, A
25MECH004, Gita Nair, MECH, 2, A
25MECH005, Hari Prasad, MECH, 2, A
25MECH006, Isha Verma, MECH, 2, A
25MECH007, Jatin Shah, MECH, 2, A
25MECH008, Asha Rao, MECH, 2, A
25MECH009, Bilal Khan, MECH, 2, A
25MECH010, Chetan Iyer, MECH, 2, A
25MECH011, Divya Menon, MECH, 2, A
25MECH012, Esha Kapoor, MECH, 2, A
25MECH013, Farhan Ali, MECH, 2, A
24MECH001, Gita Nair, MECH, 3, A
24MECH002, Hari Prasad, MECH, 3, A
24MECH003, Isha Verma, MECH, 3, A
24MECH004, Jatin Shah, MECH, 3, A
24MECH005, Asha Rao, MECH, 3, A
24MECH006, Bilal Khan, MECH, 3, A
24MECH007, Chetan Iyer, MECH, 3, A
24MECH008, Divya Menon, MECH, 3, A
24MECH009, Esha Kapoor, MECH, 3, A
24MECH010, Farhan Ali, MECH, 3, A
24MECH011, Gita Nair, MECH, 3, A
24MECH012, Hari Prasad, MECH, 3, A
23MECH001, Isha Verma, MECH, 4, A
23MECH002, Jatin Shah, MECH, 4, A
23MECH003, Asha Rao, MECH, 4, A
23MECH004, Bilal Khan, MECH, 4, A
23MECH005, Chetan Iyer, MECH, 4, A
23MECH006, Divya Menon, MECH, 4, A
23MECH007, Esha Kapoor, MECH, 4, A
23MECH008, Farhan Ali, MECH, 4, A
23MECH009, Gita Nair, MECH, 4, A
23MECH010, Hari Prasad, MECH, 4, A
23MECH011, Isha Verma, MECH, 4, A
23MECH012, Jatin Shah, MECH, 4, A
